episode,c,opponent,agent_score,opponent_score,score_diff,win,turns,q_value,epsilon,replay_path
1,0.0,starter_baseline,12.0,2.0,10.0,1,100,10.0,0.3,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0001/match.replay
2,0.0,defensive_opponent,1.0,43.0,-42.0,0,89,-16.0,0.2985,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0002/match.replay
3,0.1,starter_baseline,12.0,2.0,10.0,1,100,10.0,0.297,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0003/match.replay
4,0.1,aggressive_opponent,2.0,41.0,-39.0,0,46,-14.5,0.2955,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0004/match.replay
5,0.2,starter_baseline,5.0,1.0,4.0,1,100,4.0,0.294,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0005/match.replay
6,0.2,aggressive_opponent,27.0,0.0,27.0,1,100,15.5,0.2926,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0006/match.replay
7,0.6,aggressive_opponent,46.0,14.0,32.0,1,51,32.0,0.2911,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0007/match.replay
8,0.6,defensive_opponent,44.0,0.0,44.0,1,35,38.0,0.2897,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0008/match.replay
9,0.6,defensive_opponent,44.0,0.0,44.0,1,35,40.0,0.2882,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0009/match.replay
10,0.6,aggressive_opponent,41.0,12.0,29.0,1,53,37.25,0.2868,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0010/match.replay
11,0.6,defensive_opponent,44.0,0.0,44.0,1,35,38.6,0.2853,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0011/match.replay
12,0.2,defensive_opponent,6.0,28.0,-22.0,0,100,3.0,0.2839,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0012/match.replay
13,1.0,aggressive_opponent,43.0,15.0,28.0,1,47,28.0,0.2825,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0013/match.replay
14,0.6,aggressive_opponent,45.0,10.0,35.0,1,51,38.0,0.2811,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0014/match.replay
15,0.6,starter_baseline,52.0,31.0,21.0,1,25,35.571,0.2797,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0015/match.replay
16,1.0,starter_baseline,16.0,46.0,-30.0,0,11,-1.0,0.2783,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0016/match.replay
17,0.6,defensive_opponent,44.0,0.0,44.0,1,35,36.625,0.2769,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0017/match.replay
18,0.6,aggressive_opponent,54.0,12.0,42.0,1,41,37.222,0.2755,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0018/match.replay
19,0.6,starter_baseline,46.0,28.0,18.0,1,25,35.3,0.2741,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0019/match.replay
20,0.6,starter_baseline,19.0,43.0,-24.0,0,21,29.909,0.2727,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0020/match.replay
21,0.6,starter_baseline,54.0,30.0,24.0,1,25,29.417,0.2714,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0021/match.replay
22,0.3,starter_baseline,4.0,44.0,-40.0,0,59,-40.0,0.27,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0022/match.replay
23,0.2,aggressive_opponent,12.0,41.0,-29.0,0,41,-5.0,0.2687,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0023/match.replay
24,0.4,defensive_opponent,40.0,0.0,40.0,1,49,40.0,0.2673,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0024/match.replay
25,1.0,starter_baseline,15.0,46.0,-31.0,0,11,-11.0,0.266,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0025/match.replay
26,0.6,aggressive_opponent,55.0,8.0,47.0,1,37,30.769,0.2647,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0026/match.replay
27,0.7,aggressive_opponent,41.0,11.0,30.0,1,99,30.0,0.2633,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0027/match.replay
28,0.7,aggressive_opponent,9.0,40.0,-31.0,0,47,-0.5,0.262,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0028/match.replay
29,0.4,aggressive_opponent,20.0,42.0,-22.0,0,62,9.0,0.2607,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0029/match.replay
30,0.6,aggressive_opponent,25.0,41.0,-16.0,0,60,27.429,0.2594,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0030/match.replay
31,0.6,aggressive_opponent,42.0,18.0,24.0,1,43,27.2,0.2581,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0031/match.replay
32,0.6,starter_baseline,47.0,35.0,12.0,1,25,26.25,0.2568,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0032/match.replay
33,0.6,defensive_opponent,44.0,0.0,44.0,1,35,27.294,0.2555,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0033/match.replay
34,0.6,aggressive_opponent,40.0,17.0,23.0,1,35,27.056,0.2543,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0034/match.replay
35,0.6,defensive_opponent,44.0,0.0,44.0,1,35,27.947,0.253,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0035/match.replay
36,0.6,starter_baseline,46.0,27.0,19.0,1,25,27.5,0.2517,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0036/match.replay
37,0.6,aggressive_opponent,45.0,10.0,35.0,1,51,27.857,0.2505,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0037/match.replay
38,0.6,aggressive_opponent,48.0,0.0,48.0,1,25,28.773,0.2492,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0038/match.replay
39,0.6,starter_baseline,45.0,30.0,15.0,1,25,28.174,0.248,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0039/match.replay
40,0.6,defensive_opponent,44.0,0.0,44.0,1,35,28.833,0.2467,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0040/match.replay
41,0.6,aggressive_opponent,56.0,7.0,49.0,1,39,29.64,0.2455,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/bandit/replays/ep_0041/match.replay
