c,opponent,run_id,agent_score,opponent_score,score_diff,win,turns,replay_path
0.0,starter_baseline,1,10.0,7.0,3.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.00/starter_baseline/run_1.replay
0.0,starter_baseline,2,11.0,7.0,4.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.00/starter_baseline/run_2.replay
0.0,starter_baseline,3,6.0,5.0,1.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.00/starter_baseline/run_3.replay
0.0,defensive_opponent,1,1.0,43.0,-42.0,0,89,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.00/defensive_opponent/run_1.replay
0.0,defensive_opponent,2,1.0,43.0,-42.0,0,89,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.00/defensive_opponent/run_2.replay
0.0,defensive_opponent,3,1.0,43.0,-42.0,0,89,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.00/defensive_opponent/run_3.replay
0.0,aggressive_opponent,1,3.0,41.0,-38.0,0,24,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.00/aggressive_opponent/run_1.replay
0.0,aggressive_opponent,2,0.0,43.0,-43.0,0,25,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.00/aggressive_opponent/run_2.replay
0.0,aggressive_opponent,3,2.0,41.0,-39.0,0,24,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.00/aggressive_opponent/run_3.replay
0.1,starter_baseline,1,4.0,0.0,4.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.10/starter_baseline/run_1.replay
0.1,starter_baseline,2,11.0,1.0,10.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.10/starter_baseline/run_2.replay
0.1,starter_baseline,3,7.0,4.0,3.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.10/starter_baseline/run_3.replay
0.1,defensive_opponent,1,14.0,14.0,0.0,0,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.10/defensive_opponent/run_1.replay
0.1,defensive_opponent,2,14.0,14.0,0.0,0,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.10/defensive_opponent/run_2.replay
0.1,defensive_opponent,3,14.0,14.0,0.0,0,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.10/defensive_opponent/run_3.replay
0.1,aggressive_opponent,1,28.0,0.0,28.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.10/aggressive_opponent/run_1.replay
0.1,aggressive_opponent,2,1.0,43.0,-42.0,0,45,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.10/aggressive_opponent/run_2.replay
0.1,aggressive_opponent,3,7.0,43.0,-36.0,0,47,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.10/aggressive_opponent/run_3.replay
0.2,starter_baseline,1,7.0,7.0,0.0,0,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.20/starter_baseline/run_1.replay
0.2,starter_baseline,2,6.0,42.0,-36.0,0,93,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.20/starter_baseline/run_2.replay
0.2,starter_baseline,3,8.0,4.0,4.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.20/starter_baseline/run_3.replay
0.2,defensive_opponent,1,6.0,26.0,-20.0,0,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.20/defensive_opponent/run_1.replay
0.2,defensive_opponent,2,6.0,27.0,-21.0,0,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.20/defensive_opponent/run_2.replay
0.2,defensive_opponent,3,6.0,31.0,-25.0,0,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.20/defensive_opponent/run_3.replay
0.2,aggressive_opponent,1,1.0,40.0,-39.0,0,50,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.20/aggressive_opponent/run_1.replay
0.2,aggressive_opponent,2,5.0,41.0,-36.0,0,46,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.20/aggressive_opponent/run_2.replay
0.2,aggressive_opponent,3,2.0,41.0,-39.0,0,44,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.20/aggressive_opponent/run_3.replay
0.3,starter_baseline,1,4.0,46.0,-42.0,0,71,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/starter_baseline/run_1.replay
0.3,starter_baseline,2,2.0,43.0,-41.0,0,49,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/starter_baseline/run_2.replay
0.3,starter_baseline,3,3.0,41.0,-38.0,0,65,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/starter_baseline/run_3.replay
0.3,defensive_opponent,1,32.0,4.0,28.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/defensive_opponent/run_1.replay
0.3,defensive_opponent,2,33.0,4.0,29.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/defensive_opponent/run_2.replay
0.3,defensive_opponent,3,32.0,4.0,28.0,1,100,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/defensive_opponent/run_3.replay
0.3,aggressive_opponent,1,10.0,40.0,-30.0,0,62,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/aggressive_opponent/run_1.replay
0.3,aggressive_opponent,2,1.0,41.0,-40.0,0,52,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/aggressive_opponent/run_2.replay
0.3,aggressive_opponent,3,1.0,40.0,-39.0,0,54,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.30/aggressive_opponent/run_3.replay
0.4,starter_baseline,1,56.0,12.0,44.0,1,45,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/starter_baseline/run_1.replay
0.4,starter_baseline,2,42.0,4.0,38.0,1,43,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/starter_baseline/run_2.replay
0.4,starter_baseline,3,43.0,0.0,43.0,1,43,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/starter_baseline/run_3.replay
0.4,defensive_opponent,1,42.0,0.0,42.0,1,49,/Users/aryanthodupunuri/terminal-algo-strategy/results/tuning/grid/replays/c_0.40/defensive_opponent/run_1.replay
